abadia	monastério/mosteiro/convento
têmpora	traço
têxteis	artefato
título	denominação/subtítulo/antenome/prenome/nome
tópico	mensagem/assunto/conteúdo/coisa
tóxico	substância
túmulo	área/região
túnel	viela/corredor/galeria/passagem
ufania	satisfação
uisque	álcool
ulceração	lesão
umapósooutro	fila/bicha/linha
umbral	peitoril/soleira/limiar
unidade	totalidade
uniforme	vestimenta/vestuário/traje/roupa/vestido
universidade	comunidade/grupo
união	organização
urbe	municipalidade/município
urgência	crise
urina	excremento/excreção/fezes/merda
urso	carnívoro
ursídeos	carnívoro
usina	fábrica/planta
usuário	alguém/indivíduo/alma/pessoa
utente	alguém/indivíduo/alma/pessoa
utilizador	alguém/indivíduo/alma/pessoa
utilização	uso
uísque	álcool
uísques	álcool
vaca	vacas/bovinos/gado
vacas	bovinos
vacilação	traslado/deslocamento/movimento
vacância	espaço
vaga	espaço/movimento
vala	oco/buraco
vale	depressão
valise	bagagem/bagagens/embrulho/mala
valor	quantia/quantitativo/medida/quantidade/qualidade
valorização	categorização/classificação
van	camiões/caminhão/camião/camiões
vantagem	qualidade
vapores	aerossol/aerossóis/neblina
vara	implemento/instrumento/barra/ferramenta
varanda	edifício/tecido/estrutura
varejista	mercador/negociante/comerciante/revendedor/distribuidor
vareta	simbolo/símbolos/aceno/emblema/símbolo/sinal
variante	taxon/taxón/táxon/espécie/variedade/género/tipo/classe
variação	alteração/modificação/mudança/ocorrente/ocorrência/acontecimento
variável	soma/quantidade/número
varão	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
vasilha	vasilhame/vaso/contentor/contêiner/recipiente
vasilhame	contentor/contêiner/recipiente
vaso	contentor/contêiner/recipiente
vazio	espaço
veado	ruminantes/ruminante
vector	variável
vectores	variável
vegetal	hortifruti/hortifruto/organismo/ser
vegetariano	comedor
vegetação	colecção/flora/coleção/aglomeração/acúmulo
vela	candeia/pano/lâmpada
velhice	época/período
velocidade	ritmo
veludo	têxteis/pano/tecido/fazenda
velório	vigília
vencedor	competidor/contendor
venda	shopping
vendedor	mercador/negociante/comerciante
veneno	substância
vento	clima/tempo
ventre	anatomia
verdade	afirmação/realidade/declaração
verde	ambientalista/conservacionista
verdura	hortifruti/hortifruto
vergonha	desonra/emoção/sentimento/impressão
verificação	confirmação/prova
verme	invertebrados/invertebrado
vermelho	custo
versão	documentos/espécie/variedade/interpretação/género/tipo/classe
verão	sazão/estação/tempo/período
vespa	himenópteros
vestido	vestuário/roupa
vestimenta	vestuário/traje/roupa/vestido
vestuário	vestimenta/traje/roupa/vestido
vestíbulo	aposento/quarto/sala
vestígio	marca
veterano	militar
vetor	variável
via	estrada/caminho
viagem	jornada
vianda	comida
viatura	veículo
vida	existência/existência/ser
video	gravação
vidro	sólida/sólido
viga	peça/pedaço
vigor	violência/força
vigário	pároco/sacerdote/clérigo/pastor
vigília	guarda
vila	municipalidade/município/comunidade
vinda	chegada
vindicância	retribuição
vindouro	tempo
vingança	retribuição
vinho	álcoois/álcool
violação	delito/transgressão
violência	agressão/hostilidade/intensidade
virtude	bondade/moralidade/moral/qualidade
virtudes	bondade/virtude
visita	encontro/reunião/turista/viajante
visitante	visita/turista/viajante
vislumbre	vista/panorama
visto	antenome/prenome/nome
visão	imaginação/orientação
vitamina	alimentação/nutriente/nutrição/comida/alimento
vitrina	contentor/contêiner/recipiente
vitrine	contentor/contêiner/recipiente
vitória	chegada/conclusão/resultado/fim/final/ocorrente/ocorrência/acontecimento
viuvez	mulher
viveiro	prédio/edifício
vivenda	morada/aposento/moradia/prédio/domicílio/residência/edifício/habitação/lar/casa
vizinho	alguém/indivíduo/alma/pessoa
viés	parcialidade/partidarismo
viúva	mulher
vocalista	instrumentalista/instrumentista/tocador/músico
vocação	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
vocábulo	verbo/termo/palavra
volta	chegada/vinda
volume	quantia/quantitativo/medida/quantidade
voluntário	trabalhador
vontade	faculdade/talento
votante	cidadã/cidadão
votantes	comunidade/grupo
votação	selecção/escolha/seleção
voto	selecção/escolha/seleção
vovozinha	avós/avó/avô
vovó	avós/avó/avô
vovô	avós/avó/avô
vulcão	montanhas/montanha/monte
vulgo	população/gente/pessoal/povo
vácuo	espaço
vértice	extremos/extremo/lugar
véspera	jornada/dia
véu	vestuário/roupa
vídeo	gravação
vídeos	gravação
vírus	microorganismo/microrganismo
vítima	desafortunado/desventurado/infortunado
vôo	excursão
website	calculadora/computador
whisky	álcool
xeque	movimento
xiste	comentário/observação
xixi	excremento/excreção/fezes/merda
xícara	contentor/contêiner/faiença/louças/recipiente
zanga	abalo/comoção/emoção/sentimento
zefir	vento
zelo	ardor/paixão
zero	algarismo/dígito/número
zona	área/região/desordem/bagunça
zéfiro	vento
ágape	repasto/refeição
água	líquido
águia	emblema/símbolo
álbum	livros/livro/mídia
álbuns	livros/livro
álcoois	bebida
álcool	bebida
álibi	defesa/justificação
árbitro	oficial
área	alcance/extensão/lugar
ático	pavimento/piso/andar
átomo	substância
átrio	aposento/quarto/sala
âmbito	ambiente
ângulo	espaço
ângulos	espaço
ânus	anatomia
égua	equino/equídeo/ungulados
época	etapa/século/era/idade/tempo/período
ética	filosofia
ênfase	importância
êxtase	espírito/humor
íncubo	sonho
índex	dedo
índice	listagem/lista
óleo	lipido/lipídio/lípido/lípidos/gordura
órbita	itinerário/itinerários/percurso/rota/linha/estrada/caminho/alcance/extensão
órgão	anatomia
úlcera	lesão
